,wordone,wordtwo,mean,sim,LCS
297,fighting,defeating,7.41,0.74,creative work
298,line,insurance,2.69,1.37,rule
299,day,summer,3.94,2.93,occurrence
300,summer,drought,7.16,2.93,condition
301,summer,nature,5.63,2.93,phenomenon
302,day,dawn,7.53,59.77,day
303,nature,environment,8.31,19.03,universe
304,environment,ecology,8.81,19.03,universe
305,nature,man,6.25,19.03,universe
306,man,woman,8.3,126.91,gender identity
307,man,governor,5.25,54.92,role
308,murder,manslaughter,8.53,109.1,homicide
309,soap,opera,7.94,81.72,theatrical genre
310,opera,performance,6.88,40.23,work of art
311,life,lesson,5.94,3.33,biological process
312,focus,life,4.06,1.68,property
313,production,crew,6.25,3.08,activity
314,television,film,7.72,50.7,electronic machine
315,lover,quarrel,6.19,0.67,physical object
316,viewer,serial,2.97,14.34,agent
317,possibility,girl,1.94,1.66,quality
318,population,development,3.75,16.81,group of living things
319,morality,importance,3.31,0.42,concept
320,morality,marriage,3.69,0.42,concept
321,Mexico,Brazil,7.44,170.52,hola
322,gender,equality,6.41,2.21,first-order metaclass
323,change,attitude,5.44,19.03,universe
324,family,planning,6.25,0.76,group
325,opera,industry,2.63,0.42,concept
326,sugar,approach,0.88,2.21,first-order metaclass
327,practice,institution,3.19,57.9,institution
328,ministry,culture,4.69,31.41,group of humans
329,problem,challenge,6.75,62.59,task
330,size,prominence,5.31,1.63,series
331,country,citizen,7.31,31.41,group of humans
332,planet,people,5.75,0.74,class
333,development,issue,3.97,34.48,social group
334,experience,music,3.47,3.38,knowledge
335,music,project,3.63,3.08,activity
336,glass,metal,5.56,17.6,base material
337,aluminum,metal,7.83,17.6,base material
338,chance,credibility,3.88,0.42,capability
339,exhibit,memorabilia,5.31,0.68,object
340,concert,virtuoso,6.81,0.42,concept
341,rock,jazz,7.59,68.31,music genre
342,museum,theater,7.19,42.67,organization
343,observation,architecture,4.38,3.08,activity
344,space,world,6.53,19.03,universe
345,preservation,world,6.19,0.76,system
346,admission,ticket,7.69,0.42,concept
347,shower,thunderstorm,6.31,144.37,rain
348,shower,flood,6.03,19.03,universe
349,weather,forecast,8.34,2.93,state
350,disaster,area,6.25,1.68,property
351,governor,office,6.34,64.32,position
352,architecture,century,3.78,68.54,human communication
