,wordone,wordtwo,mean,sim,LCS
205,school,center,3.44,1.72,location
206,reason,hypertension,2.31,2.05,state
207,reason,criterion,5.91,2.53,quality
208,hundred,percent,7.38,3.82,unit of measurement
209,Harvard,Yale,8.13,6.21,private university
210,hospital,infrastructure,4.63,1.77,business
211,death,row,5.25,1.71,state
212,death,inmate,5.03,2.89,person
213,lawyer,evidence,6.69,1.67,concept
214,life,death,7.88,7.51,death
215,life,term,4.5,2.53,property
216,word,similarity,4.75,2.01,psychology terminology
217,board,recommendation,4.47,1.69,rule
218,governor,interview,3.25,1.71,activity
219,OPEC,country,5.63,2.82,organization
220,peace,atmosphere,3.69,2.01,concept
221,peace,insurance,2.94,1.67,concept
222,territory,kilometer,5.28,1.25,concept
223,travel,activity,5.0,5.08,activity
224,competition,price,6.44,2.51,abstract object
225,consumer,confidence,4.13,1.67,psychology terminology
226,consumer,energy,4.75,3.79,energy
227,problem,airport,2.38,1.43,concept
228,car,flight,4.94,5.0,travel
229,credit,card,8.06,1.68,product
230,credit,information,5.31,2.51,abstract object
231,hotel,reservation,8.03,2.64,economic activity
232,grocery,money,5.94,1.68,goods
233,registration,arrangement,6.0,2.56,activity
234,arrangement,accommodation,5.41,2.56,change
235,month,hotel,1.81,1.68,spatio-temporal entity
236,type,kind,8.97,10.0,type
237,arrival,hotel,6.0,1.67,entity
238,bed,closet,6.72,6.05,furniture
239,closet,clothes,8.0,2.52,product
240,situation,conclusion,4.81,2.01,concept
241,situation,isolation,3.88,2.56,situation
242,impartiality,interest,5.16,2.88,personality trait
243,direction,combination,2.25,2.56,action
244,street,place,6.44,4.06,geographic location
245,street,avenue,8.88,6.35,street
246,street,block,6.88,4.34,architectural structure
247,street,children,4.94,1.93,social group
248,listing,proximity,2.56,2.03,property
249,listing,category,6.38,3.93,list
250,cell,phone,7.81,2.25,device
251,production,hike,1.75,4.34,Wikimedia disambiguation page
252,benchmark,index,4.25,2.01,work
253,media,trading,3.88,1.7,first-order metaclass
254,media,gain,2.88,1.7,first-order metaclass
255,dividend,payment,7.63,0.77,concept
256,dividend,calculation,6.48,1.12,mathematical object
257,calculation,computation,8.44,10.0,calculation
258,currency,market,7.5,4.92,market
259,OPEC,oil,8.59,1.45,written work
260,oil,stock,6.34,2.01,product
261,announcement,production,3.38,1.71,process
262,announcement,warning,6.0,1.45,the media
263,profit,warning,3.88,1.43,abstract object
264,profit,loss,7.63,3.79,result
265,dollar,yen,7.78,6.2,currency
266,dollar,buck,9.22,1.12,goods
267,dollar,profit,7.38,1.69,measure
268,dollar,loss,6.09,1.69,measure
269,computer,software,8.5,6.3,computer
270,network,hardware,8.31,2.25,equipment
271,phone,equipment,7.13,3.68,equipment
272,equipment,maker,5.91,1.43,concept
273,luxury,car,6.47,1.44,economic concept
274,five,month,3.38,1.27,property
275,report,gain,3.63,1.28,first-order metaclass
276,investor,earning,7.13,1.25,concept
277,liquid,water,7.89,5.83,liquid
278,baseball,season,5.97,1.71,activity
279,game,victory,7.03,2.05,occurrence
280,game,team,7.69,3.43,organization
281,marathon,sprint,7.47,6.18,sports discipline
282,game,series,6.19,2.53,series
283,game,defeat,6.97,2.05,occurrence
284,seven,series,3.56,1.69,series
285,seafood,sea,7.47,1.94,natural physical object
286,seafood,food,8.34,7.14,food
287,seafood,lobster,8.7,8.16,seafood
288,lobster,food,7.81,5.55,food
289,lobster,wine,5.7,3.84,food
290,food,preparation,6.22,2.3,chemical substance
291,video,archive,6.34,1.69,series
292,start,year,4.06,2.05,temporal entity
293,start,match,4.47,2.56,occurrence
294,game,round,5.97,5.29,competition
295,boxing,round,7.61,4.13,sport
296,championship,tournament,8.36,7.31,championship
297,fighting,defeating,7.41,1.26,creative work
298,line,insurance,2.69,2.52,product
299,day,summer,3.94,1.71,occurrence
300,summer,drought,7.16,1.47,condition
301,summer,nature,5.63,1.71,phenomenon
302,day,dawn,7.53,6.52,day
303,nature,environment,8.31,2.0,entity
304,environment,ecology,8.81,2.59,academic discipline
305,nature,man,6.25,1.96,universe
306,man,woman,8.3,6.56,gender identity
307,man,governor,5.25,2.63,role
308,murder,manslaughter,8.53,5.13,homicide
309,soap,opera,7.94,4.41,theatrical genre
310,opera,performance,6.88,3.37,work of art
311,life,lesson,5.94,2.06,biological process
312,focus,life,4.06,2.53,property
313,production,crew,6.25,2.05,activity
314,television,film,7.72,2.99,electronic machine
315,lover,quarrel,6.19,1.26,physical object
316,viewer,serial,2.97,2.25,agent
317,possibility,girl,1.94,2.03,quality
318,population,development,3.75,2.01,concept
319,morality,importance,3.31,2.51,concept
320,morality,marriage,3.69,1.67,concept
321,Mexico,Brazil,7.44,7.51,hola
322,gender,equality,6.41,2.01,concept
323,change,attitude,5.44,2.01,philosophical concept
324,family,planning,6.25,2.01,set
325,opera,industry,2.63,2.01,concept
326,sugar,approach,0.88,1.26,philosophical concept
327,practice,institution,3.19,3.8,institution
328,ministry,culture,4.69,2.18,group of humans
329,problem,challenge,6.75,6.59,task
330,size,prominence,5.31,1.67,entity
331,country,citizen,7.31,2.58,group of humans
332,planet,people,5.75,1.68,class
333,development,issue,3.97,2.23,social group
334,experience,music,3.47,2.57,knowledge
335,music,project,3.63,2.56,activity
336,glass,metal,5.56,3.76,base material
337,aluminum,metal,7.83,3.76,base material
338,chance,credibility,3.88,1.67,capability
339,exhibit,memorabilia,5.31,2.51,physical object
340,concert,virtuoso,6.81,1.25,concept
341,rock,jazz,7.59,5.07,music genre
342,museum,theater,7.19,2.82,organization
343,observation,architecture,4.38,2.56,activity
344,space,world,6.53,10.0,universe
345,preservation,world,6.19,1.67,concept
346,admission,ticket,7.69,1.25,concept
347,shower,thunderstorm,6.31,6.96,rain
348,shower,flood,6.03,1.47,process
349,weather,forecast,8.34,1.71,state
350,disaster,area,6.25,2.51,concept
351,governor,office,6.34,6.63,position
352,architecture,century,3.78,2.05,human communication
